,Player,Team,Position,Salary,Years,Total Value,Average Annual
0,"Scherzer, Max",N.Y. Mets,RHP,"$43,333,333",3 (2022-24),"$130,000,000","$43,333,333"
1,"Trout, Mike",L.A. Angels,OF,"$37,116,667",12 (2019-30),"$426,500,000","$35,541,667"
2,"Rendon, Anthony",L.A. Angels,3B,"$36,571,429",7 (2020-26),"$245,000,000","$35,000,000"
3,"Cole, Gerrit",N.Y. Yankees,RHP,"$36,000,000",9 (2020-28),"$324,000,000","$36,000,000"
4,"Correa, Carlos",Minnesota,SS,"$35,100,000",3 (2022-24),"$105,300,000","$35,100,000"
5,"Machado, Manny",San Diego,3B,"$34,000,000",10 (2019-28),"$300,000,000","$30,000,000"
6,"Seager, Corey",Texas,SS,"$33,000,000",10 (2022-31),"$325,000,000","$32,500,000"
7,"Arenado, Nolan",St. Louis,3B,"$32,974,847",8 (2019-26),"$260,000,000","$32,500,000"
8,"Lindor, Francisco",N.Y. Mets,SS,"$32,477,277",10 (2022-31),"$341,000,000","$34,100,000"
9,"Strasburg, Stephen",Washington,RHP,"$32,205,854",7 (2020-26),"$245,000,000","$35,000,000"
10,"Price, David",L.A. Dodgers,LHP,"$32,000,000",7 (2016-22),"$217,000,000","$31,000,000"
11,"Bauer, Trevor",L.A. Dodgers,RHP,"$32,000,000",3 (2021-23),"$102,000,000","$34,000,000"
12,"Cabrera, Miguel",Detroit,DH,"$32,000,000",8 (2016-23),"$248,000,000","$31,000,000"
13,"Springer, George",Toronto,OF,"$29,666,667",6 (2021-26),"$150,000,000","$25,000,000"
14,"Altuve, Jose",Houston,2B,"$29,000,000",7 (2018-19),"$163,500,000","$23,357,143"
15,"Stanton, Giancarlo",N.Y. Yankees,DH,"$29,000,000",13 (2015-27),"$325,000,000","$25,000,000"
16,"Harper, Bryce",Philadelphia,OF,"$27,538,462",13 (2019-31),"$330,000,000","$25,384,615"
17,"deGrom, Jacob",N.Y. Mets,RHP,"$27,257,728",5 (2019-23),"$137,500,000","$27,500,000"
18,"Wheeler, Zack",Philadelphia,RHP,"$26,000,000",5 (2020-24),"$118,000,000","$23,600,000"
19,"Freeman, Freddie",L.A. Dodgers,1B,"$25,440,196",6 (2022-27),"$162,000,000","$27,000,000"
0,"Goldschmidt, Paul",St. Louis,1B,"$25,333,333",5 (2020-24),"$130,000,000","$26,000,000"
1,"Semien, Marcus",Texas,2B,"$25,000,000",7(2022-28),"$175,000,000","$25,000,000"
2,"Verlander, Justin",Houston,RHP,"$25,000,000",,$0,$0
3,"Stroman, Marcus",Chi. Cubs,RHP,"$25,000,000",3 (2022-24),"$71,000,000","$23,666,667"
4,"Votto, Joey",Cincinnati,1B,"$25,000,000",10 (2014-23),"$225,000,000","$22,500,000"
5,"Yelich, Christian",Milwaukee,OF,"$24,316,961",9 (2020-28),"$215,000,000","$23,888,889"
6,"Sale, Chris",Boston,LHP,"$24,172,484",5 (2020-24),"$145,000,000","$29,000,000"
7,"Cano, Robinson",N.Y. Mets,2B,"$24,000,000",10 (2014-23),"$240,000,000","$24,000,000"
8,"Realmuto, JT",Philadelphia,C,"$23,875,000",5 (2021-25),"$115,500,000","$23,100,000"
9,"Corbin, Patrick",Washington,LHP,"$23,416,667",6 (2019-24),"$140,000,000","$23,333,333"
10,"Donaldson, Josh",N.Y. Yankees,3B,"$23,000,000",4 (2020-23),"$92,000,000","$23,000,000"
11,"Myers, Wil",San Diego,OF,"$22,500,000",6 (2017-22),"$83,000,000","$13,833,333"
12,"Heyward, Jason",Chi. Cubs,OF,"$22,000,000",8 (2016-23),"$184,000,000","$23,000,000"
13,"Ramirez, Jose",Cleveland,3B,"$22,000,000",7 (2022-28),"$141,000,000","$20,142,857"
14,"Bumgarner, Madison",Arizona,LHP,"$21,882,892",5 (2020-24),"$85,000,000","$17,000,000"
15,"Rodon, Carlos",San Francisco,LHP,"$21,500,000",2 (2022-23),"$44,000,000","$22,000,000"
16,"Hosmer, Eric",San Diego,1B,"$21,000,000",8 (2018-25),"$144,000,000","$18,000,000"
17,"Ray, Robbie",Seattle,LHP,"$21,000,000",5 (2022-26),"$115,000,000","$23,000,000"
18,"Gausman, Kevin",Toronto,RHP,"$21,000,000",5 (2022-26),"$110,000,000","$22,000,000"
19,"Blackmon, Charlie",Colorado,OF,"$21,000,000",6 (2018-23),"$108,000,000","$18,000,000"
0,"Turner, Trea",L.A. Dodgers,SS,"$21,000,000",,$0,$0
1,"Syndergaard, Noah",L.A. Angels,RHP,"$21,000,000",,$0,$0
2,"Baez, Javier",Detroit,SS,"$20,000,000",6 (2022-27),"$140,000,000","$23,333,333"
3,"Morton, Charlie",Atlanta,RHP,"$20,000,000",,$0,$0
4,"Bogaerts, Xander",Boston,SS,"$20,000,000",6 (2020-25),"$120,000,000","$20,000,000"
5,"Story, Trevor",Boston,2B,"$20,000,000",6 (2022-27),"$140,000,000","$23,333,333"
6,"Ryu, Hyun-Jin",Toronto,LHP,"$20,000,000",4 (2020-23),"$80,000,000","$20,000,000"
7,"Darvish, Yu",San Diego,RHP,"$20,000,000",6 (2018-23),"$126,000,000","$21,000,000"
8,"Castellanos, Nick",Philadelphia,OF,"$20,000,000",5 (2022-26),"$100,000,000","$20,000,000"
9,"Turner, Justin",L.A. Dodgers,3B,"$19,579,357",2 (2021-22),"$34,000,000","$17,000,000"
10,"Martinez, JD",Boston,DH,"$19,375,000",5 (2018-22),"$110,000,000","$22,000,000"
11,"Abreu, Jose",Chic. White Sox,1B,"$19,131,153",3 (2020-23),"$50,000,000","$16,666,667"
12,"Schwarber, Kyle",Philadelphia,OF,"$19,000,000",4 (2022-25),"$79,000,000","$19,750,000"
13,"Betts, Mookie",L.A. Dodgers,OF,"$18,658,692",12 (2021-32),"$365,000,000","$30,416,667"
14,"Lynn, Lance",Chic. White Sox,RHP,"$18,500,000",2 (2022-23),"$38,000,000","$19,000,000"
15,"Belt, Brandon",San Francisco,1B,"$18,400,000",,$0,$0
16,"Grandal, Yasmani",Chic. White Sox,C,"$18,250,000",4 (2020-23),"$73,000,000","$18,250,000"
17,"Keuchel, Dallas",Chic. White Sox,LHP,"$18,000,000",3 (2020-22),"$55,500,000","$18,500,000"
18,"Bryant, Kris",Colorado,OF,"$18,000,000",7 (2022-28),"$182,000,000","$26,000,000"
19,"Perez, Salvador",Kansas City,C,"$18,000,000",4 (2022-25),"$82,000,000","$20,500,000"
0,"Cain, Lorenzo",Milwaukee,OF,"$17,801,121",5 (2018-22),"$80,000,000","$16,000,000"
1,"Longoria, Evan",San Francisco,3B,"$17,500,000",6 (2017-22),"$100,000,000","$16,666,667"
2,"Wainwright, Adam",St. Louis,RHP,"$17,500,000",,$0,$0
3,"Soto, Juan",Washington,OF,"$17,100,000",,$0,$0
4,"Mikolas, Miles",St. Louis,RHP,"$17,000,000",4 (2020-23),"$68,000,000","$17,000,000"
5,"Judge, Aaron",N.Y. Yankees,OF,"$17,000,000",,$0,$0
6,"Bellinger, Cody",L.A. Dodgers,OF,"$17,000,000",,$0,$0
7,"Kershaw, Clayton",L.A. Dodgers,LHP,"$17,000,000",,$0,$0
8,"Eovaldi, Nathan",Boston,RHP,"$17,000,000",4 (2019-22),"$68,000,000","$17,000,000"
9,"Ozuna, Marcell",Atlanta,OF,"$16,000,000",4 (2021-24),"$65,000,000","$16,250,000"
10,"Jansen, Kenley",Atlanta,RHP,"$16,000,000",,$0,$0
11,"Moustakas, Mike",Cincinnati,3B,"$16,000,000",4 (2020-23),"$64,000,000","$16,000,000"
12,"Kimbrel, Craig",L.A. Dodgers,RHP,"$16,000,000",,$0,$0
13,"Brantley, Michael",Houston,OF,"$16,000,000",2 (2021-22),"$32,000,000","$16,000,000"
