team,salary
Cleveland Browns,186513983
Carolina Panthers,202249051
Denver Broncos,210892216
Las Vegas Raiders,199666719
San Francisco 49ers,205211067
Indianapolis Colts,205811217
Washington Commanders,207402414
Atlanta Falcons,202265825
Chicago Bears,204696905
Philadelphia Eagles,219359743
Dallas Cowboys,215263145
Pittsburgh Steelers,210658592
Miami Dolphins,208559442
Los Angeles Chargers,212130008
Green Bay Packers,211925991
New York Jets,207530545
Kansas City Chiefs,205249141
Detroit Lions,214423875
New York Giants,203667108
Tampa Bay Buccaneers,202960773
Jacksonville Jaguars,231233180
Arizona Cardinals,204903998
New England Patriots,208004554
Cincinnati Bengals,210200068
Buffalo Bills,206691460
Tennessee Titans,208998318
Seattle Seahawks,215796566
Houston Texans,212666643
Minnesota Vikings,208790359
Los Angeles Rams,200270156
Baltimore Ravens,204617520
New Orleans Saints,206828041
