Salary,Sport,Team,_id
89436392,MLB,Arizona,643df2afa4230c35c78284f0
176705000,MLB,Atlanta,643df2afa4230c35c78284f1
37801500,MLB,Baltimore,643df2afa4230c35c78284f2
190553059,MLB,Boston,643df2afa4230c35c78284f3
142778500,MLB,Chi. Cubs,643df2afa4230c35c78284f4
187870219,MLB,Chic. White Sox,643df2afa4230c35c78284f5
106057500,MLB,Cincinnati,643df2afa4230c35c78284f6
66831100,MLB,Cleveland,643df2afa4230c35c78284f7
130266333,MLB,Colorado,643df2afa4230c35c78284f8
129543200,MLB,Detroit,643df2afa4230c35c78284f9
173856000,MLB,Houston,643df2afa4230c35c78284fa
89174150,MLB,Kansas City,643df2afa4230c35c78284fb
160613096,MLB,L.A. Angels,643df2afa4230c35c78284fc
293605745,MLB,L.A. Dodgers,643df2afa4230c35c78284fd
79075000,MLB,Miami,643df2afa4230c35c78284fe
129098242,MLB,Milwaukee,643df2afa4230c35c78284ff
126383190,MLB,Minnesota,643df2afa4230c35c7828500
266998338,MLB,N.Y. Mets,643df2afa4230c35c7828501
243213214,MLB,N.Y. Yankees,643df2afa4230c35c7828502
52410000,MLB,Oakland,643df2afa4230c35c7828503
220867447,MLB,Philadelphia,643df2afa4230c35c7828504
43976800,MLB,Pittsburgh,643df2afa4230c35c7828505
217218286,MLB,San Diego,643df2afa4230c35c7828506
155439000,MLB,San Francisco,643df2afa4230c35c7828507
96515400,MLB,Seattle,643df2afa4230c35c7828508
160558497,MLB,St. Louis,643df2afa4230c35c7828509
78857112,MLB,Tampa Bay,643df2afa4230c35c782850a
120760500,MLB,Texas,643df2afa4230c35c782850b
165657288,MLB,Toronto,643df2afa4230c35c782850c
135290221,MLB,Washington,643df2afa4230c35c782850d
186513983,NFL,Cleveland Browns,643df2afa4230c35c782850e
202249051,NFL,Carolina Panthers,643df2afa4230c35c782850f
210892216,NFL,Denver Broncos,643df2afa4230c35c7828510
199666719,NFL,Las Vegas Raiders,643df2afa4230c35c7828511
205211067,NFL,San Francisco 49ers,643df2afa4230c35c7828512
205811217,NFL,Indianapolis Colts,643df2afa4230c35c7828513
207402414,NFL,Washington Commanders,643df2afa4230c35c7828514
202265825,NFL,Atlanta Falcons,643df2afa4230c35c7828515
204696905,NFL,Chicago Bears,643df2afa4230c35c7828516
219359743,NFL,Philadelphia Eagles,643df2afa4230c35c7828517
215263145,NFL,Dallas Cowboys,643df2afa4230c35c7828518
210658592,NFL,Pittsburgh Steelers,643df2afa4230c35c7828519
208559442,NFL,Miami Dolphins,643df2afa4230c35c782851a
212130008,NFL,Los Angeles Chargers,643df2afa4230c35c782851b
211925991,NFL,Green Bay Packers,643df2afa4230c35c782851c
207530545,NFL,New York Jets,643df2afa4230c35c782851d
205249141,NFL,Kansas City Chiefs,643df2afa4230c35c782851e
214423875,NFL,Detroit Lions,643df2afa4230c35c782851f
203667108,NFL,New York Giants,643df2afa4230c35c7828520
202960773,NFL,Tampa Bay Buccaneers,643df2afa4230c35c7828521
231233180,NFL,Jacksonville Jaguars,643df2afa4230c35c7828522
204903998,NFL,Arizona Cardinals,643df2afa4230c35c7828523
208004554,NFL,New England Patriots,643df2afa4230c35c7828524
210200068,NFL,Cincinnati Bengals,643df2afa4230c35c7828525
206691460,NFL,Buffalo Bills,643df2afa4230c35c7828526
208998318,NFL,Tennessee Titans,643df2afa4230c35c7828527
215796566,NFL,Seattle Seahawks,643df2afa4230c35c7828528
212666643,NFL,Houston Texans,643df2afa4230c35c7828529
208790359,NFL,Minnesota Vikings,643df2afa4230c35c782852a
200270156,NFL,Los Angeles Rams,643df2afa4230c35c782852b
204617520,NFL,Baltimore Ravens,643df2afa4230c35c782852c
206828041,NFL,New Orleans Saints,643df2afa4230c35c782852d
